experiment,phase,seed,eval_protocol,eval_ar_seed_mode,train_supervision_protocol,optimizer_profile,strict_repro_mode,scenario_type,scenario_value,model,horizon,metric,value
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,32,ade_mean,266950.1513671875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,32,ade_std,10017.930419921875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,64,mse_mean,0.11697433900553733
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,64,mse_std,0.0010916354367509484
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,64,mae_mean,0.2057661364087835
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,64,mae_std,0.002793209278024733
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,64,fde_mean,77560.25573730469
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,64,fde_std,5489.958251953125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,64,ade_mean,200650.72534179688
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,64,ade_std,8763.488525390625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,128,mse_mean,0.10911042522639036
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,128,mse_std,0.00018665788229554892
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,128,mae_mean,0.18951741454657167
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,128,mae_std,0.0002265089424327016
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,128,fde_mean,236846.03369140625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,128,fde_std,17839.274169921875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,128,ade_mean,167142.14379882812
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,128,ade_std,249.5439453125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,256,mse_mean,0.10911042522639036
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,256,mse_std,0.00018665788229554892
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,256,mae_mean,0.18951741454657167
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,256,mae_std,0.0002265089424327016
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,256,fde_mean,236846.03369140625
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,256,fde_std,17839.274169921875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,256,ade_mean,167142.14379882812
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,Informer,256,ade_std,249.5439453125
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,32,mse_mean,0.014506762334349332
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,32,mse_std,0.007889205448009307
